Broker Names,Broker Filer Code,Address,Phone,Details Page Link
A N DERINGER INC,'551,"835 COMMERCE PARK DRIVE  OGDESBURG, NY 13669  United States",+1 315-393-1110,https://www.cbp.gov/about/contact/find-broker-by-port/0701/551
ACTION WORLDWIDE INC,EPW,"1 LINCOLN BOULEVARD  SUITE 102  ROUSES POINT, NY 12979  United States",+1 518-297-6600,https://www.cbp.gov/about/contact/find-broker-by-port/0701/EPW
AFFILIATED CUSTOMS BROKERS USA INC,EG6,"46769 US INTERSTATE 81  WELLESLEY ISLAND  ALEXANDRIA BAY, NY 13640  United States",+1 315-482-3608,https://www.cbp.gov/about/contact/find-broker-by-port/0701/EG6
AXXESS INTERNATIONAL INC,'9RK,"100 WALNUT STREET  DOOR 19  CHAMPLAIN, NY 12919  United States",+1 518-298-4007,https://www.cbp.gov/about/contact/find-broker-by-port/0701/9RK
BAY BROKERAGE INC,BGK,"42832 NYS ROUTE 12  ALEXANDRIA BAY, NY 13607  United States",+1 315-482-6161,https://www.cbp.gov/about/contact/find-broker-by-port/0701/BGK
BCB INTERNATIONAL INC,'186,"46757 US INTERSTATE 81  ALEXANDRIA BAY, NY 13607  United States",+1 716-884-1554,https://www.cbp.gov/about/contact/find-broker-by-port/0701/186
COLE INTERNATIONAL USA INC,CIU,"100 WALNUT STREET  SUITE 042  CHAMPLAIN, NY 12919  United States",+1 518-298-6600,https://www.cbp.gov/about/contact/find-broker-by-port/0701/CIU
DELMAR INTERNATIONAL NY INC,DS9,"5 COTON LANE  CHAMPLAIN, NY 12919  United States",+1 518-206-4129,https://www.cbp.gov/about/contact/find-broker-by-port/0701/DS9
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,'799,"826 PROCTOR AVENUE  OGDENSBURG, NY 13669  United States",+1 315-393-3317,https://www.cbp.gov/about/contact/find-broker-by-port/0701/799
LIVINGSTON INTERNATIONAL INC,'300,"CORNWALL BRIDGE BLDG G ROOM 105  PO BOX 830  ROOSEVELTOWN, NY 13683  United States",+1 315-764-5061,https://www.cbp.gov/about/contact/find-broker-by-port/0701/300
METRO CUSTOMS BROKERS INC,WFN,"1 LINCOLN BOULEVARD  SUITE 202  ROUSES POINT, NY 12979  United States",+1 518-297-3000,https://www.cbp.gov/about/contact/find-broker-by-port/0701/WFN
RADIX GROUP INTERNATIONAL INC DBA DHL GLOBAL FORWARDING,'336,"46771 US INTERSTATE ROUTE 81  ALEXANDRIA BAY, NY 13607  United States",+1 315-482-2564,https://www.cbp.gov/about/contact/find-broker-by-port/0701/336
RBI USA CUSTOMS SERVICES LLC,EGS,"1427 RIDGE ROAD  CHAMPLAIN, NY 12919  United States",+1 877-724-2007,https://www.cbp.gov/about/contact/find-broker-by-port/0701/EGS
RUSSELL A FARROW US INC,EI5,"237 WEST SERVICE ROAD  ROOM B106  CHAMPLAIN, NY 12919  United States",+1 518-298-5545,https://www.cbp.gov/about/contact/find-broker-by-port/0701/EI5
STRADER-FERRIS INTERNATIONAL,GN2,"808 COMMERCE PARK DRIVE  OGDENSBURG, NY 13669  United States",+1 613-925-4271,https://www.cbp.gov/about/contact/find-broker-by-port/0701/GN2
UPS SUPPLY CHAIN SOLUTIONS INC,UPS,"1 UPS WAY  CHAMPLAIN, NY 12919  United States",+1 518-298-8000,https://www.cbp.gov/about/contact/find-broker-by-port/0701/UPS
