Broker Names,Broker Filer Code,Address,Phone,Details Page Link
ANCHOR CUSTOMS BROKER,BJE,"7449 SHORELINE DR  QUINTON, VA 23141  United States",,https://www.cbp.gov/about/contact/find-broker-by-port/1401/BJE
ARTEMIS GLOBAL INC,'9V6,"2645 INTERNATIONAL PARKWAY  SUITE 101  VIRGINIA BEACH, VA 23452  United States",+1 703-483-2520,https://www.cbp.gov/about/contact/find-broker-by-port/1401/9V6
ARTEMUS TRANSPORTATION SOLUTIONS,'9JW,"317 OFFICE SQUARE LANE  SUITE B202  VIRGINIA BEACH, VA 23462  United States",+1 757-201-6811,https://www.cbp.gov/about/contact/find-broker-by-port/1401/9JW
BDP INTERNATIONAL INC,'916,"1721 EVEREST CIRCLE  VA BEACH, VA 23454  United States",+1 757-426-8194,https://www.cbp.gov/about/contact/find-broker-by-port/1401/916
Century Customs Brokerage LLC,NHF,"4860 Cox Road Suite 210  Glen Allen, VA 23060  United States",+1 804-215-4323,https://www.cbp.gov/about/contact/find-broker-by-port/1401/NHF
CH POWELL COMPANY,'605,"208 EAST PLUME STREET  MONTICELLO ARCADE SUITE 310  NORFOLK, VA 23510  United States",+1 757-626-1346,https://www.cbp.gov/about/contact/find-broker-by-port/1401/605
COLIN WILLIAMSON,AKV,"8169 NORTH SHALL DRIVE  MECHANICSVILLE, VA 23111  United States",,https://www.cbp.gov/about/contact/find-broker-by-port/1401/AKV
CYNTHIA KRAMER,J85,"500 WOODLAKE ROAD  VIRGINIA BEACH, VA 23452  United States",+1 757-463-5726,https://www.cbp.gov/about/contact/find-broker-by-port/1401/J85
E & B INTERNATIONAL,AT1,"5353 EAST PRINCESS ANNE ROAD  SUITE A  NORFOLK, VA 23502  United States",+1 757-853-5101,https://www.cbp.gov/about/contact/find-broker-by-port/1401/AT1
EASTPORT CUSTOMS BROKER INC,J06,"732 THIMBLE SHOALS BOULEVARD  SUITE 302A  NEWPORT NEWS, VA 23606  United States",+1 757-873-2215,https://www.cbp.gov/about/contact/find-broker-by-port/1401/J06
EIMSKIP LOGISTICS INC,D24,"ONE COLUMBUS CENTER  SUITE 500  VIRGINIA BEACH, VA 23462  United States",+1 757-485-0566,https://www.cbp.gov/about/contact/find-broker-by-port/1401/D24
EXEL GLOBAL LOGISTICS INC,'233,"INTERSTATE CORP CENTER BLDG 11  420 NORTH CENTER DR SUITE 142  NORFOLK, VA 23502  United States",+1 757-466-0136,https://www.cbp.gov/about/contact/find-broker-by-port/1401/233
