Broker Names,Broker Filer Code,Address,Phone,Details Page Link
AIT CUSTOM BROKERAGE INC,MH4,"8870 BOGGY CREEK ROAD  500  ORLANDO, FL 32824  United States",+1 407-438-0814,https://www.cbp.gov/about/contact/find-broker-by-port/1808/MH4
AJ ARANGO,'032,"2425 EAST LANDSTREET ROAD  SUITE 150  ORLANDO, FL 32824  United States",+1 407-859-2512,https://www.cbp.gov/about/contact/find-broker-by-port/1808/032
ARIES GLOBAL LOGISTICS INC,BPQ,"1616 NORTH WEST 84 AVENUE  MIAMI, FL 33126  United States",+1 305-921-4705,https://www.cbp.gov/about/contact/find-broker-by-port/1808/BPQ
ATEC CUSTOMS BROKERAGE INC,BQH,"650 SOUTH NORTH LAKE BOULEVARD  SUITE 400  ALTAMONT SPRINGS, FL 32701  United States",+1 407-740-5565,https://www.cbp.gov/about/contact/find-broker-by-port/1808/BQH
CUSTOMS BROKERS SUPPLIER CBS INC,BTU,"ORLANDO INTERNATIONAL AIRPORT  4215 LINDY CIRCLE  ORLANDO, FL 32827  United States",+1 407-857-8814,https://www.cbp.gov/about/contact/find-broker-by-port/1808/BTU
EXEL GLOBAL LOGISTICS INC,'233,"8870 BOGGY CREEK ROAD  SUITE 600  ORLANDO, FL 32824  United States",+1 407-240-0149,https://www.cbp.gov/about/contact/find-broker-by-port/1808/233
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,'231,"8200 BOGGY CREEK ROAD  SUITE 200  ORLANDO, FL 32824  United States",+1 407-816-0186,https://www.cbp.gov/about/contact/find-broker-by-port/1808/231
FORWARD LOGISTICS GROUP INC,BHC,"8870 BOGGY CREEK ROAD  SUITE 600  ORLANDO, FL 32824  United States",+1 407-240-0149,https://www.cbp.gov/about/contact/find-broker-by-port/1808/BHC
GLOBAL TRANSPORTATION SERVICES INC,H41,"1181 TRADEPORT DRIVE  ORLANDO, FL 32824  United States",+1 407-438-5499,https://www.cbp.gov/about/contact/find-broker-by-port/1808/H41
HELLMANN WORLDWIDE LOGISTICS INC,MC2,"8249 PARKLINE BOULEVARD  400 500  ORLANDO, FL 32809  United States",+1 407-855-2828,https://www.cbp.gov/about/contact/find-broker-by-port/1808/MC2
HNM ENTERPRISES LLC DBA HNM GLOBAL LOGISTICS,HNM,"1902 CYPRESS LAKE DR  STE 150  ORLANDO, FL 32737  United States",,https://www.cbp.gov/about/contact/find-broker-by-port/1808/HNM
JOHN M VARNDELL CHB,US8,"720 MULLET ROAD  SUITE K  CAPE CANAVERAL, FL 32920  United States",+1 321-243-5148,https://www.cbp.gov/about/contact/find-broker-by-port/1808/US8
JOHN S JAMES CO,'413,"1739 EAST 11TH STREET  JACKSONVILLE, FL 32206  United States",+1 904-356-9646,https://www.cbp.gov/about/contact/find-broker-by-port/1808/413
KCI CUSTOMS BROKERS INC,DM9,"9025 BOGGY CREEK ROAD  UNIT 5  ORLANDO, FL 32824  United States",+1 407-816-9570,https://www.cbp.gov/about/contact/find-broker-by-port/1808/DM9
KUEHNE & NAGEL INC,'101,"8130 ANDERSON ROAD  SUITE 304  TAMPA, FL 33634  United States",+1 813-888-9700,https://www.cbp.gov/about/contact/find-broker-by-port/1808/101
LIMITLESS INTERNATIONAL INC,AUF,"8200 BOGGY CREEK ROAD  SUITE 600  ORLANDO, FL 32824  United States",+1 407-240-7395,https://www.cbp.gov/about/contact/find-broker-by-port/1808/AUF
PREMIER LOGISTICS INC,WA5,"8440 TRADEPORT DRIVE  102  ORLANDO, FL 32827  United States",+1 407-438-6444,https://www.cbp.gov/about/contact/find-broker-by-port/1808/WA5
PRIORITY ONE BROKERS INC,E10,"3419 TRENTWOOD BOULEVARD  SUITE 201  ORLANDO, FL 32812  United States",+1 407-855-0925,https://www.cbp.gov/about/contact/find-broker-by-port/1808/E10
RADIX GROUP INTERNATIONAL INC DBA DHL GLOBAL FORWARDING,'336,"8810 BOGGY CREEK ROAD  SUITE 600  ORLANDO, FL 32824  United States",+1 407-851-7520,https://www.cbp.gov/about/contact/find-broker-by-port/1808/336
SACK & MENENDEZ INC,'660,"8442 TRADEPORT DRIVE  SUITE 203  ORLANDO, FL 32827  United States",+1 407-859-6081,https://www.cbp.gov/about/contact/find-broker-by-port/1808/660
SEKO CUSTOMS BROKERAGE INC,M34,"1920 PREMIER ROW  ORLANDO, FL 32809  United States",+1 407-855-0296,https://www.cbp.gov/about/contact/find-broker-by-port/1808/M34
UNI INTERNATIONAL AMERICA CORP,AGA,"8000 SOUTH ORANGE AVENUE  SUITE 110  ORLANDO, FL 32809  United States",+1 407-857-8050,https://www.cbp.gov/about/contact/find-broker-by-port/1808/AGA
UPS SUPPLY CHAIN SOLUTIONS INC,UPS,"9597 BENFORD ROAD  ORLANDO, FL 32827  United States",+1 407-857-6704,https://www.cbp.gov/about/contact/find-broker-by-port/1808/UPS
US 1 CUSTOMS BROKERS INC,WJJ,"8442 TRADEPORT DRIVE  200  ORLANDO, FL 32827  United States",+1 407-855-0296,https://www.cbp.gov/about/contact/find-broker-by-port/1808/WJJ
WILLIAM J GRUENEWALD,AJJ,"150 HERON BAY CIRCLE  LAKE MARY, FL 32746  United States",+1 407-620-7554,https://www.cbp.gov/about/contact/find-broker-by-port/1808/AJJ
