Broker Names,Broker Filer Code,Address,Phone,Details Page Link
A & A CONTRACT CUSTOMS BROKERS USA INC,SQ4,"2-12TH ST  BLAINE, WA 98230  United States",+1 360-332-7667,https://www.cbp.gov/about/contact/find-broker-by-port/3019/SQ4
A N DERINGER INC,'551,"8 12TH STREET  BLAINE, WA 98230  United States",+1 360-332-6600,https://www.cbp.gov/about/contact/find-broker-by-port/3019/551
AFFILIATED CUSTOMS BROKERS USA INC,EG6,"155 12TH STREET  SUITE 102  BLAINE, WA 98230  United States",+1 360-332-1461,https://www.cbp.gov/about/contact/find-broker-by-port/3019/EG6
AGILITY LOGISTICS CORP,'201,"1000 OAKSDALE AVENUE SOUTH WEST  SUITE 115  RENTON, WA 98055  United States",+1 425-203-5150,https://www.cbp.gov/about/contact/find-broker-by-port/3019/201
AIR TIGER EXPRESS USA INC,T81,"811 SOUTH 192ND STREET  SUITE 200  SEATAC, WA 98148  United States",+1 206-870-1899,https://www.cbp.gov/about/contact/find-broker-by-port/3019/T81
AIRPORT BROKERS CORPORATION,'429,"17730 AMBAUM BOULEVARD SOUTH  SEATTLE, WA 98168  United States",+1 206-246-6580,https://www.cbp.gov/about/contact/find-broker-by-port/3019/429
AM BUSH INC,BEO,"9 LAKE BELLEVUE DRIVE  SUITE 120  BELLEVUE, WA 98005  United States",+1 425-646-9700,https://www.cbp.gov/about/contact/find-broker-by-port/3019/BEO
AMY E MORGAN LLC,'92U,"5159 NORTH EAST 55TH STREET  SEATTLE, WA 98105  United States",+1 206-235-0891,https://www.cbp.gov/about/contact/find-broker-by-port/3019/92U
ANDREW D MACGILLIVRAY,E8D,"1516 WEST RIVERSIDE  SPOKANE, WA 99201  United States",+1 506-624-5043,https://www.cbp.gov/about/contact/find-broker-by-port/3019/E8D
APEX LOGISTICS INTERNATIONAL (JFK) INC,'9G3,"18000 INTERNATIONAL BOULEVARD  SUITE 418  SEATAC, WA 98188  United States",+1 206-420-7456,https://www.cbp.gov/about/contact/find-broker-by-port/3019/9G3
